WRS_The_Red_Junta:2 "The Red Junta"
WRS_The_Red_Junta_desc:0 ""
WRS_Soviet_Factory_renewal:2 "Soviet Factory renewal"
WRS_Soviet_Factory_renewal_desc:0 ""
WRS_The_Neighbours:2 "The Neighbours"
WRS_The_Neighbours_desc:0 ""
WRS_Soldiers_of_Steel:2 "Soldiers of Steel"
WRS_Soldiers_of_Steel_desc:0 ""
WRS_Inspire_our_People:2 "Inspire our People"
WRS_Inspire_our_People_desc:0 ""
WRS_Nationwide_Propaganda:2 "Nationwide Propaganda"
WRS_Nationwide_Propaganda_desc:0 ""
WRS_Inspire_our_Soldiers:2 "Inspire our Soldiers"
WRS_Inspire_our_Soldiers_desc:0 ""
WRS_The_Civil_War_relived:2 "The Civil War relived"
WRS_The_Civil_War_relived_desc:0 ""
WRS_Loyalty_from_Birth:2 "Loyalty from Birth"
WRS_Loyalty_from_Birth_desc:0 ""
WRS_Glory_to_the_Heroes:2 "Glory to the Heroes"
WRS_Glory_to_the_Heroes_desc:0 ""
WRS_Encourage_Women_in_the_Army:2 "Encourage Women in the Army"
WRS_Encourage_Women_in_the_Army_desc:0 ""
WRS_The_new_People:2 "The new People"
WRS_The_new_People_desc:0 ""
WRS_Remarkable_Equipment:2 "Remarkable Equipment"
WRS_Remarkable_Equipment_desc:0 ""
WRS_Focus_on_Military_Technologies:2 "Focus on Military Technologies"
WRS_Focus_on_Military_Technologies_desc:0 ""
WRS_Red_Trucks:2 "Red Trucks"
WRS_Red_Trucks_desc:0 ""
WRS_Steal_from_the_Giants:2 "Steal from the Giants"
WRS_Steal_from_the_Giants_desc:0 ""
WRS_Build_on_the_M16:2 "Build on the M16"
WRS_Build_on_the_M16_desc:0 ""
WRS_Reform_the_Motorized:2 "Reform the Motorized"
WRS_Reform_the_Motorized_desc:0 ""
WRS_Study_old_German_Artillery:2 "Study old German Artillery"
WRS_Study_old_German_Artillery_desc:0 ""
WRS_Support_Artillery:2 "Support Artillery"
WRS_Support_Artillery_desc:0 ""
WRS_The_new_Infantry:2 "The new Infantry"
WRS_The_new_Infantry_desc:0 ""
WRS_Superior_Minds:2 "Superior Minds"
WRS_Superior_Minds_desc:0 ""
WRS_New_Tactics:2 "New Tactics"
WRS_New_Tactics_desc:0 ""
WRS_Archangelsk_Academy:2 "Archangelsk Academy"
WRS_Archangelsk_Academy_desc:0 ""
WRS_Reform_ambushing:2 "Reform ambushing"
WRS_Reform_ambushing_desc:0 ""
WRS_Move_Command_Down:2 "Move Command Down"
WRS_Move_Command_Down_desc:0 ""
WRS_Responsibility_to_the_Soldier:2 "Responsibility to the Soldier"
WRS_Responsibility_to_the_Soldier_desc:0 ""
WRS_One_with_the_Forest:2 "One with the Forest"
WRS_One_with_the_Forest_desc:0 ""
WRS_This_time_it_will_work:2 "This time it will work"
WRS_This_time_it_will_work_desc:0 ""
WRS_The_new_Tactics:2 "The new Tactics"
WRS_The_new_Tactics_desc:0 ""
WRS_Move_Tukhachevskys_Industry_to_our_Core:2 "Move Tukhachevskys Industry to our Core"
WRS_Move_Tukhachevskys_Industry_to_our_Core_desc:0 ""
WRS_A_functioning_civllian_economy:2 "A functioning civllian economy"
WRS_A_functioning_civllian_economy_desc:0 ""
WRS_Move_Zhukovs_Industry_to_our_Core:2 "Move Zhukovs Industry to our Core"
WRS_Move_Zhukovs_Industry_to_our_Core_desc:0 ""
